Category,Installs
EVENTS,15949410
BEAUTY,26916200
PARENTING,31116110
MEDICAL,39162676
COMICS,44931100
LIBRARIES_AND_DEMO,52083000
AUTO_AND_VEHICLES,53129800
HOUSE_AND_HOME,97082000
ART_AND_DESIGN,114233100
DATING,140912410
FOOD_AND_DRINK,211677750
EDUCATION,352852000
WEATHER,361096500
FINANCE,455249400
MAPS_AND_NAVIGATION,503267560
LIFESTYLE,503611120
BUSINESS,692018120
SPORTS,1096431465
HEALTH_AND_FITNESS,1134006220
SHOPPING,1400331540
PERSONALIZATION,1532341930
BOOKS_AND_REFERENCE,1665791655
ENTERTAINMENT,2113660000
NEWS_AND_MAGAZINES,2369110650
TRAVEL_AND_LOCAL,2894859300
VIDEO_PLAYERS,3916897200
FAMILY,4437554490
PHOTOGRAPHY,4649143130
SOCIAL,5487841475
PRODUCTIVITY,5788070180
TOOLS,8099724500
COMMUNICATION,11039241530
GAME,13858762717
