,Category,Price,Revenue_Estimate
28,GAME,1.49,1.49
47,GAME,0.99,0.99
233,FAMILY,14.99,149.9
248,BUSINESS,2.49,24.900000000000002
291,LIFESTYLE,3.04,30.4
312,FAMILY,1.49,14.9
339,PERSONALIZATION,0.99,9.9
354,PHOTOGRAPHY,3.49,34.900000000000006
357,FAMILY,2.99,29.900000000000002
373,GAME,0.99,9.9
402,PRODUCTIVITY,0.99,9.9
421,PHOTOGRAPHY,4.99,49.900000000000006
436,FAMILY,0.99,9.9
479,TOOLS,2.99,29.900000000000002
486,TOOLS,0.99,9.9
496,PERSONALIZATION,0.99,9.9
504,FAMILY,29.99,299.9
526,FAMILY,19.99,199.89999999999998
534,FAMILY,4.99,49.900000000000006
540,FAMILY,4.99,49.900000000000006
570,GAME,1.99,99.5
571,TOOLS,2.99,149.5
598,PERSONALIZATION,0.99,49.5
645,PERSONALIZATION,0.99,49.5
657,PERSONALIZATION,0.99,49.5
659,TOOLS,1.76,88.0
663,FAMILY,2.99,149.5
692,FAMILY,2.99,149.5
702,BUSINESS,8.99,449.5
705,BOOKS_AND_REFERENCE,1.75,87.5
728,FAMILY,1.49,74.5
739,FAMILY,1.49,74.5
748,FAMILY,0.99,49.5
754,PERSONALIZATION,0.99,49.5
762,PERSONALIZATION,0.99,99.0
763,PERSONALIZATION,0.99,99.0
798,GAME,0.99,99.0
845,PERSONALIZATION,0.99,99.0
851,FAMILY,12.99,1299.0
862,FINANCE,4.99,499.0
871,SHOPPING,2.49,249.00000000000003
882,DATING,7.99,799.0
893,PERSONALIZATION,1.99,199.0
894,GAME,4.99,499.0
898,FAMILY,0.99,99.0
905,PRODUCTIVITY,4.99,499.0
909,FAMILY,3.99,399.0
912,MEDICAL,2.99,299.0
921,SPORTS,3.88,388.0
923,MEDICAL,2.99,299.0
953,PRODUCTIVITY,2.99,299.0
965,BUSINESS,12.99,1299.0
978,PARENTING,4.59,459.0
1021,LIFESTYLE,0.99,99.0
1023,FAMILY,9.99,999.0
1026,TOOLS,3.99,399.0
1037,MAPS_AND_NAVIGATION,9.99,999.0
1045,COMMUNICATION,1.49,149.0
1050,PERSONALIZATION,1.49,149.0
1055,COMMUNICATION,1.49,149.0
1063,FAMILY,1.49,149.0
1068,PERSONALIZATION,0.99,99.0
1088,FAMILY,2.99,299.0
1095,FAMILY,1.99,199.0
1099,FAMILY,4.99,499.0
1109,TOOLS,1.49,149.0
1116,FAMILY,0.99,99.0
1126,SPORTS,3.49,349.0
1136,FAMILY,1.99,199.0
1195,MEDICAL,12.99,1299.0
1203,FAMILY,0.99,99.0
1204,FAMILY,0.99,99.0
1205,GAME,0.99,99.0
1206,TOOLS,1.99,199.0
1259,FAMILY,4.99,499.0
1281,FAMILY,3.99,399.0
1287,PERSONALIZATION,0.99,99.0
1291,BOOKS_AND_REFERENCE,3.99,399.0
1295,GAME,14.0,1400.0
1300,PERSONALIZATION,1.49,149.0
1302,GAME,4.49,449.0
1317,GAME,1.99,199.0
